7.159325,2.3114667,4.5631127,590984738338997
7.152147,2.2947168,4.5726843,590984740735455
7.1688967,2.2995026,4.6205406,590984743131913
7.216753,2.3306093,4.668397,590984745528372
7.24786,2.3856442,4.7377887,590984747924726
7.2670026,2.457429,4.8263235,590984750321184
7.314859,2.536392,4.910072,590984752717643
7.3459654,2.6344976,4.9938207,590984755114101
7.3842506,2.6895328,5.0536413,590984757510559
7.3866434,2.7326035,5.1158547,590984759907018
7.389036,2.7828526,5.211568,590984762303476
7.3866434,2.804388,5.2809596,590984764699934
7.3459654,2.8283165,5.343173,590984767096288
7.312466,2.8378878,5.4125648,590984769492747
7.2861447,2.8259234,5.4987063,590984771889205
7.257431,2.806781,5.568098,590984774285663
7.192825,2.7996025,5.611169,590984776682122
7.0803623,2.7732813,5.642276,590984779078580
6.987042,2.7397819,5.680561,590984781475038
6.8889365,2.7302105,5.7547383,590984783871497
6.798009,2.7062824,5.8480587,590984786267955
6.6735826,2.6703901,5.9676995,590984788664413
6.5276203,2.6608188,6.1040907,590984791060872
6.384051,2.6608188,6.2309103,590984793457226
6.242874,2.6703901,6.3338017,590984795853684
6.099305,2.684747,6.424729,590984798250143
5.9844494,2.6895328,6.4869423,590984800646601
5.8911295,2.6799614,6.5252275,590984803043059
5.8169518,2.672783,6.5682983,590984805439518
5.7284174,2.672783,6.5946193,590984807835976
5.6590257,2.6249263,6.599405,590984810232434
5.599205,2.5746772,6.6161547,590984812628893
5.5704913,2.5268207,6.6759753,590984815025351
5.572884,2.4598217,6.7381887,590984817421809
5.5800624,2.388037,6.7932234,590984819818163
5.615955,2.3306093,6.8075805,590984822214622
5.680561,2.2612174,6.836294,590984824611080
5.7451673,2.225325,6.876972,590984827007538
5.84088,2.172683,6.920043,590984829403997
5.9342003,2.120041,6.9248285,590984831800455
6.058627,2.0937197,6.95115,590984834196913
6.1974106,2.0841484,6.984649,590984836593372
6.314659,2.0410776,7.0301127,590984838989830
6.439086,2.0147567,7.1186476,590984841386288
6.5850477,1.9860427,7.30768,590984843782747
6.687939,1.9645073,7.503892,590984846179101
6.798009,1.9621146,7.647461,590984848575559
6.879365,1.9645073,7.7383885,590984850972018
6.9702926,1.9501505,7.8029947,590984853368476
7.0636125,1.942972,7.8221374,590984855764934
7.1473613,1.9238294,7.8029947,590984858161393
7.2550383,1.9286151,7.7790666,590984860557851
7.348358,1.9334008,7.7790666,590984862954309
7.379465,1.9405792,7.7790666,590984865350768
7.422536,1.9549361,7.8053875,590984867747226
7.432107,1.9908284,7.8556366,590984870143684
7.391429,2.0482562,7.932207,590984872540143
7.3842506,2.103291,7.972885,590984874936497
7.3292155,2.1774685,7.9800634,590984877332955
7.2765737,2.251646,7.9561353,590984879729413
7.2263246,2.2779672,7.9106717,590984882125872
7.152147,2.306681,7.838887,590984884522330
7.092326,2.349752,7.743174,590984886918788
7.051648,2.3641088,7.6402826,590984889315247
7.018149,2.376073,7.5613194,590984891711705
6.9966135,2.4071796,7.499106,590984894108163
6.984649,2.4454648,7.4273214,590984896504622
6.9966135,2.4670002,7.3196445,590984898901080
7.0301127,2.495714,7.2095747,590984901297434
7.0899334,2.5459633,7.094719,590984903693893
7.125826,2.5962126,6.920043,590984906090351
7.173682,2.617748,6.7429743,590984908486809
7.2382884,2.6153553,6.5898337,590984910883268
7.2933235,2.603391,6.489335,590984913279726
7.3603225,2.6129622,6.422336,590984915676184
7.4344997,2.644069,6.4199433,590984918072643
7.4919276,2.6991038,6.431907,590984920469101
7.609176,2.7589245,6.4606214,590984922865559
7.685746,2.8283165,6.4941206,590984925262018
7.7886376,2.902494,6.506085,590984927658476
7.867601,2.9886355,6.539584,590984930054830
7.944171,3.0532417,6.570691,590984932451288
7.9704924,3.0843484,6.580262,590984934847747
8.01117,3.1058838,6.5252275,590984937244205
8.099705,3.0819557,6.352944,590984939640663
8.1738825,3.034099,6.166304,590984942037122
8.243274,2.955136,6.0370917,590984944433580
8.338987,2.8905299,5.946164,590984946830038
8.432307,2.885744,5.8767724,590984949226497
8.523234,2.955136,5.8767724,590984951622955
8.6141615,3.0149565,5.898308,590984954019413
8.666803,3.117848,5.9342003,590984956415872
8.748159,3.2350962,6.005985,590984958812226
8.822337,3.3355947,6.04427,590984961208684
8.863015,3.455236,6.068198,590984963605143
8.877372,3.5605202,6.0729837,590984966001601
8.874979,3.6346977,6.0514483,590984968398059
8.834301,3.65384,6.0323057,590984970794518
8.752945,3.6466618,6.02752,590984973190976
8.650054,3.6203406,6.0418773,590984975587434
8.532805,3.5581272,6.0514483,590984977983893
8.386844,3.481557,6.087341,590984980380351
8.202596,3.3954153,6.1184473,590984982776809
8.032705,3.318845,6.1495543,590984985173163
7.8628154,3.2422748,6.15434,590984987569622
7.6713896,3.1896327,6.1471615,590984989966080
7.513463,3.1369905,6.1160545,590984992362538
7.353144,3.1250265,6.111269,590984994758997
7.2263246,3.1226335,6.0921264,590984997155455
7.1186476,3.1058838,6.0394845,590984999551913
7.0348988,3.1106694,6.0107703,590985001948372
6.9726853,3.101098,5.9724855,590985004344830
6.8817577,3.101098,5.948557,590985006741288
6.8075805,3.1250265,5.946164,590985009137747
6.7501526,3.1226335,5.919843,590985011534205
6.721439,3.1106694,5.871987,590985013930663
6.6927247,3.1058838,5.802595,590985016327018
6.707082,3.1226335,5.706882,590985018723476
6.6999035,3.117848,5.65424,590985021119934
6.680761,3.07717,5.6303115,590985023516393
6.6999035,3.0293136,5.5800624,590985025912851
6.6999035,2.9671001,5.4987063,590985028309309
6.6927247,2.9383862,5.4412785,590985030705663
6.6759753,2.8953154,5.4029937,590985033102226
6.666404,2.845066,5.367101,590985035498684
6.7166533,2.8163524,5.319245,590985037895143
6.7645097,2.7589245,5.288138,590985040291601
6.8171515,2.7349963,5.271388,590985042688059
6.903293,2.7086751,5.278567,590985045084413
7.0396843,2.6632116,5.319245,590985047480872
7.176075,2.6273193,5.359923,590985049877330
7.274181,2.6201408,5.3814583,590985052273788
7.3459654,2.605784,5.393422,590985054670247
7.420143,2.617748,5.410172,590985057066705
7.4943204,2.5962126,5.4628143,590985059463163
7.5900335,2.5842485,5.5369916,590985061859622
7.676175,2.5674987,5.5537415,590985064256080
7.752745,2.498107,5.5106707,590985066652538
7.810173,2.4454648,5.501099,590985069048997
7.8987074,2.4047868,5.5633125,590985071445455
7.9680996,2.4047868,5.656633,590985073841809
8.056634,2.4215364,5.7403817,590985076238268
8.123632,2.4335005,5.804988,590985078634726
8.159525,2.4670002,5.8480587,590985081031184
8.202596,2.5220351,5.8887367,590985083427643
8.19781,2.5938199,5.9246287,590985085824101
8.1738825,2.6823542,5.9820566,590985088220559
8.16431,2.7493532,6.0394845,590985090617018
8.109276,2.8115666,6.0753765,590985093013476
8.056634,2.87378,6.1304116,590985095409934
7.999206,2.9072795,6.1878395,590985097806393
7.9393854,2.9336007,6.233303,590985100202851
7.891529,2.9958138,6.3122663,590985102599205
7.8460655,3.0317063,6.3792653,590985104995663
7.834101,3.0699914,6.4462643,590985107392122
7.838887,3.1058838,6.4773707,590985109788580
7.838887,3.1202407,6.4965134,590985112185038
7.8484583,3.1369905,6.498906,590985114581497
7.891529,3.1202407,6.4869423,590985116977955
7.975278,3.0795627,6.4606214,590985119374413
8.04467,3.0436704,6.439086,590985121770872
8.135597,2.993421,6.4199433,590985124167330
8.243274,2.955136,6.3792653,590985126563788
8.343773,2.9742785,6.317052,590985128960247
8.439486,3.0053852,6.2668023,590985131356705
8.516056,2.9982069,6.1974106,590985133753163
8.592627,2.993421,6.135197,590985136149518
8.662018,3.0053852,6.0418773,590985138545976
8.676374,3.0412776,5.948557,590985140942434
8.659625,3.0460632,5.8337016,590985143338893
8.60459,3.0604203,5.7140603,590985145735351
8.516056,3.050849,5.5776696,590985148131809
