1.859000000000000000e+03,8.727663385317390000e+14
1.860000000000000000e+03,8.727663426984050000e+14
1.861000000000000000e+03,8.727663468650720000e+14
1.862000000000000000e+03,8.727663510317390000e+14
1.863000000000000000e+03,8.727663551984050000e+14
1.864000000000000000e+03,8.727663593964040000e+14
1.865000000000000000e+03,8.727663635630700000e+14
1.866000000000000000e+03,8.727663677297370000e+14
1.867000000000000000e+03,8.727663718964040000e+14
1.868000000000000000e+03,8.727663760630700000e+14
1.869000000000000000e+03,8.727663802297370000e+14
1.870000000000000000e+03,8.727663843964040000e+14
1.871000000000000000e+03,8.727663885630700000e+14
