1.261000000000000000e+03,8.727638447387690000e+14
1.262000000000000000e+03,8.727638489054360000e+14
1.263000000000000000e+03,8.727638530721020000e+14
1.264000000000000000e+03,8.727638572702230000e+14
1.265000000000000000e+03,8.727638614368890000e+14
1.266000000000000000e+03,8.727638656035560000e+14
1.267000000000000000e+03,8.727638697702230000e+14
1.268000000000000000e+03,8.727638739368890000e+14
1.269000000000000000e+03,8.727638781035560000e+14
1.270000000000000000e+03,8.727638822702230000e+14
1.271000000000000000e+03,8.727638864368890000e+14
1.272000000000000000e+03,8.727638906386310000e+14
1.273000000000000000e+03,8.727638948052970000e+14
